영화 제목,썸네일,유튜브 제목,어그로표현 있음,내용,자극,의문,THUMB,내용있는어그로,video_id,자극+의문,char
네고시에이터,https://i.ytimg.com/vi/eZIyAV-kvYI/hqdefault.jpg,보기만 해도 당신의 말빨을   상승시켜줄 영화,1,0,1,0,0,0,eZIyAV-kvYI,1,7
네이든,https://i.ytimg.com/vi/72V1pS7xyso/hqdefault.jpg,대수학을 마스터한 자폐천재 소년이 세계 수학 경시대회에 나가면 일어날 일      ,1,1,0,1,1,1,72V1pS7xyso,1,12
네이든,https://i.ytimg.com/vi/1kQ2lNZYxTU/hqdefault.jpg,   천재 자폐아가 풀지 못한 단 하나의 문제  ,1,1,1,1,1,1,1kQ2lNZYxTU,2,9
노리개[그녀의눈물],https://i.ytimg.com/vi/g3kclKPhScY/hqdefault.jpg,    실화를 모티브로 해서 만들어진 한국 연예계 영화,0,1,0,0,1,0,g3kclKPhScY,0,8
노벰버맨,https://i.ytimg.com/vi/Qnc4kdP-xzs/hqdefault.jpg,    카페사장으로 전업한 전직 특수요원을 빡치게 하면 벌어지는 일    ,1,1,1,1,1,1,Qnc4kdP-xzs,2,10
노벰버맨,https://i.ytimg.com/vi/ti0srk9U-oU/hqdefault.jpg,조용히 살아가던 전직   엘리트 특수 요원을 잘못 건드린 자들의 최후       ,1,1,1,1,1,1,ti0srk9U-oU,2,13
노예12년,https://i.ytimg.com/vi/WouA0lfy8vY/hqdefault.jpg,하루아침에 자유를 송두리째 잃어버린 남자      ,1,1,1,0,1,1,WouA0lfy8vY,1,6
노잉,https://i.ytimg.com/vi/_2oSH4cNdSA/hqdefault.jpg,지구의 종말을 예언했지만 과연 우리가 손쓸방법이 있을까   ?  재앙영화  영화 노잉           ,1,1,0,1,1,1,_2oSH4cNdSA,1,9
노잉,https://i.ytimg.com/vi/ijSubgC451s/hqdefault.jpg,미래를 보는 아이 저주인가 축복인가,0,1,0,0,1,0,ijSubgC451s,0,5
노잉,https://i.ytimg.com/vi/C7-Jn7dM2KI/hqdefault.jpg,적중률  의 지구 재난 예언서의 암호를 해독한 남자,1,1,1,0,1,1,C7-Jn7dM2KI,1,8
노크노크,https://i.ytimg.com/vi/GAYTSsWJWiw/hqdefault.jpg,싸이코패스 여자들과 하룻밤을 보낸 유부남의 최후    ,1,1,0,1,1,1,GAYTSsWJWiw,1,7
노크노크,https://i.ytimg.com/vi/I1sesvHeNes/hqdefault.jpg,섹시한 여대생 명을 집에 들인 유부남의 최후  ,1,1,0,1,1,1,I1sesvHeNes,1,7
노트북,https://i.ytimg.com/vi/nV0Mm6azvUg/hqdefault.jpg,미치도록 아름다운 멜로 영화의 교과서     ,1,0,1,0,1,0,nV0Mm6azvUg,1,5
노트북,https://i.ytimg.com/vi/H6_uW1RF7tk/hqdefault.jpg,눈물없이 볼수없는 아름답고 순수한 사랑이야기  하이틴영화           ,1,1,1,0,1,1,H6_uW1RF7tk,1,6
논스톱,https://i.ytimg.com/vi/c0NVvkSJuiU/hqdefault.jpg,하필 그가 타고있는 비행기를 건드린 테러범들의 비참한 최후,1,1,0,1,1,1,c0NVvkSJuiU,1,8
논스톱,https://i.ytimg.com/vi/ISHNECMx4es/hqdefault.jpg,비행기에서 테러범을 찾아야 하는 그남자     ,0,1,0,0,1,0,ISHNECMx4es,0,5
논스톱,https://i.ytimg.com/vi/ktDP9eX6fp0/hqdefault.jpg,      분마다 사람을 죽이는 테러범과 같은 비행기에 탄 전직 베테랑 형사,0,1,0,0,1,0,ktDP9eX6fp0,0,12
높은풀속에서,https://i.ytimg.com/vi/JmeLLgIMKg4/hqdefault.jpg,정말   이게 넷플릭스에 나왔다고?,1,0,0,1,0,0,JmeLLgIMKg4,1,4
높은풀속에서,https://i.ytimg.com/vi/yudMsVafak0/hqdefault.jpg,고대신의 인간 고문기구 미로  한번 들어가면 절대로 나올 수 없다,0,1,0,0,1,0,yudMsVafak0,0,10
높은풀속에서,https://i.ytimg.com/vi/dE_hSk53E4Q/hqdefault.jpg,인간을 섭취하며 자라는 충격적인 논밭의 정체,1,0,1,1,1,0,dE_hSk53E4Q,2,6
높은풀속에서,https://i.ytimg.com/vi/A5-emRxsAbg/hqdefault.jpg, 소름주의  큐브 감독이 작정하고 만든 또 하나의 탈출 소재 스릴러 😱,1,0,1,0,1,0,A5-emRxsAbg,1,11
높은풀속에서IntheTallGrass,https://i.ytimg.com/vi/viqTGCN-nI4/hqdefault.jpg,    들어가면 절대 나올 수 없는   공포 스릴러,0,1,0,0,1,0,viqTGCN-nI4,0,9
눈먼자들의도시,https://i.ytimg.com/vi/dwBYo6-BUuc/hqdefault.jpg,모든 사람들의 눈이 멀게되자 이들이 벌인 충격적인 짓들,1,1,1,1,1,1,dwBYo6-BUuc,2,8
눈먼자들의도시,https://i.ytimg.com/vi/R17neR7RmCI/hqdefault.jpg,      이 세상에서 나만 눈이 보이면 벌어지는 일?,1,1,0,1,1,1,R17neR7RmCI,1,8
눈먼자들의도시,https://i.ytimg.com/vi/SeDuNsrR0vE/hqdefault.jpg,바이러스로 인해 맹인이 된 사람들   ,0,1,0,0,1,0,SeDuNsrR0vE,0,5
눈먼자들의도시,https://i.ytimg.com/vi/Ff4HqUjL5Jc/hqdefault.jpg,인간의 추악함을 가장 잘 보여주는 영화  ,1,0,1,0,0,0,Ff4HqUjL5Jc,1,6
뉴니스,https://i.ytimg.com/vi/q2is_Vd9NEw/hqdefault.jpg,어플로 사귀면 진짜 사랑이 가능할까,1,1,0,1,1,1,q2is_Vd9NEw,1,5
늑대의유혹,https://i.ytimg.com/vi/AbaZMQTejqk/hqdefault.jpg,생각보다 재밌어서 늦게본걸 후회한 영화        넷플릭스 추천 ,0,0,0,0,1,0,AbaZMQTejqk,0,7
니키타,https://i.ytimg.com/vi/DIxfQGOo1zY/hqdefault.jpg,사형 대신 살인을 선택한 여자 저격수,0,1,0,0,0,0,DIxfQGOo1zY,0,6
닌자어쌔신,https://i.ytimg.com/vi/cL8HI9dl1IE/hqdefault.jpg,      깡은 양반인 재평가가 시급한 비의 첫 할리우드 주연 영화,1,0,1,0,1,0,cL8HI9dl1IE,1,10
닌자어쌔신,https://i.ytimg.com/vi/XFm7GM19-7o/hqdefault.jpg,헐리웃 전체를 충격에 빠뜨렸던 비의 전성기 액션수준   ㄷ,1,0,1,0,1,0,XFm7GM19-7o,1,8
다만악에서구하소서,https://i.ytimg.com/vi/Esua6p3_nM8/hqdefault.jpg,올해 개봉한 한국 영화 중 최고! 극장에서 영화 볼 거면 무조건 이거 보세요,1,0,1,0,1,0,Esua6p3_nM8,1,13
다만악에서구하소서,https://i.ytimg.com/vi/LrmzUmhH-Nw/hqdefault.jpg,신세계 이후 년 만에 희대의 숙적으로 재회한 두 브라더  ,1,1,1,0,1,1,LrmzUmhH-Nw,1,9
다만악에서구하소서,https://i.ytimg.com/vi/--BUfdp7nKs/hqdefault.jpg,올해 한국영화 최고 기대작이라고 불리는 영화,1,0,1,0,0,0,--BUfdp7nKs,1,6
다만악에서구하소서,https://i.ytimg.com/vi/cE4mH_7EhTA/hqdefault.jpg,황정민  이정재가 다시 만났다고?,1,0,0,1,0,0,cE4mH_7EhTA,1,4
다세포소녀,https://i.ytimg.com/vi/43H3cI0GIXQ/hqdefault.jpg,상상도 못할 일만 벌어지는 쓰레기 변태 학교,1,1,1,0,1,1,43H3cI0GIXQ,1,7
다운바이러브,https://i.ytimg.com/vi/REryZWpugeA/hqdefault.jpg,    이쁘고 어린 여죄수가 마음에 들어 매일 사무실로 부르는 교도소장    ,1,1,1,0,1,1,REryZWpugeA,1,11
다운바이러브,https://i.ytimg.com/vi/MJ0J3_7c3NE/hqdefault.jpg,매일밤 여죄수의 방에 찾아오는 교도소장의 비밀,1,1,0,1,1,1,MJ0J3_7c3NE,1,6
다운사이징,https://i.ytimg.com/vi/P5Sc9POSxDI/hqdefault.jpg,돈 때문에  로 작아진 남자,0,1,0,0,1,0,P5Sc9POSxDI,0,5
다운사이징,https://i.ytimg.com/vi/Rs8zSWSR5Ys/hqdefault.jpg,몸을  로 줄인 대신 억을 벌어들인 남자,0,1,0,0,0,0,Rs8zSWSR5Ys,0,7
다운튼애비,https://i.ytimg.com/vi/EkTEmpaA56o/hqdefault.jpg,정말   이런 곳이 실제로 존재한다고?,1,0,0,1,1,0,EkTEmpaA56o,1,4
다이버전트,https://i.ytimg.com/vi/RqXjcF5xB6c/hqdefault.jpg,년 후  인류의 미래를 바꿀 마지막 방법   ,1,0,1,1,0,0,RqXjcF5xB6c,2,7
다이버전트,https://i.ytimg.com/vi/A8j5Tk0M5NQ/hqdefault.jpg,년 후  성격에 따라 나뉘어 살게 된 인류   ,0,1,0,0,1,0,A8j5Tk0M5NQ,0,8
다이하드,https://i.ytimg.com/vi/J-88eerxFnA/hqdefault.jpg,인질이 오히려 인질범들을 쓸어버리는 개통쾌한 영화,1,1,1,0,1,1,J-88eerxFnA,1,6
다이하드3,https://i.ytimg.com/vi/nMt29kLSVaQ/hqdefault.jpg,독일군인이 미국 은행을 터는 가장 쉬운 방법  레전드   ,1,1,0,1,1,1,nMt29kLSVaQ,1,9
다찌마와리-악인이여지옥행급행열차를타라!,https://i.ytimg.com/vi/GUxJTLIO81E/hqdefault.jpg,어벤져스급 출연진으로 작정하고 만든  급 영화,1,0,1,0,1,0,GUxJTLIO81E,1,6
다키스트마인드,https://i.ytimg.com/vi/ZfPrDzjcyoU/hqdefault.jpg,최강의 초능력을 대 소녀가 가지게 되면 생기는 일,1,1,1,1,0,1,ZfPrDzjcyoU,2,8
다키스트마인드,https://i.ytimg.com/vi/_q-htCdckX8/hqdefault.jpg,초능력자 명으로도 못이기는 전설급 초능력자 소녀,1,1,1,0,0,1,_q-htCdckX8,1,6
닥치고춤춰라,https://i.ytimg.com/vi/Cct8k7veX8A/hqdefault.jpg,노트북의 웹캠을 무조건 가려놔야 하는 이유  ,1,1,0,1,1,1,Cct8k7veX8A,1,6
닥터두리틀,https://i.ytimg.com/vi/sAax4bP9Nrw/hqdefault.jpg,동물들의 말소리에 귀 기울이는 진정한 슈퍼히어로,0,1,0,0,0,0,sAax4bP9Nrw,0,6
닥터두리틀,https://i.ytimg.com/vi/_YCrHTJTNSU/hqdefault.jpg,아이언맨 로다주의 새로운 컴백작,0,0,0,0,1,0,_YCrHTJTNSU,0,4
닥터스트레인지,https://i.ytimg.com/vi/hspfInePFy8/hqdefault.jpg,닥터 스트레인지는 어떻게 불사신이 되었는가?  삐맨,1,1,0,1,0,1,hspfInePFy8,1,6
닥터스트레인지,https://i.ytimg.com/vi/cQ8NrTYwiXM/hqdefault.jpg,닥터 스트레인지로 보는 마블의 신화와 마법기원,0,0,0,0,0,0,cQ8NrTYwiXM,0,6
달마야놀자,https://i.ytimg.com/vi/Jh0xswczNpg/hqdefault.jpg,이 영화가 진짜    한국 불교 공식 홍보 영화라고?,1,0,0,1,1,0,Jh0xswczNpg,1,8
"달콤,살벌한연인",https://i.ytimg.com/vi/xcdcjOP_zX8/hqdefault.jpg,하필이면 살인마에게 고백해버린 년 모태 쏠로남의 운명  ㅠㅠ,1,1,1,1,1,1,xcdcjOP_zX8,2,7
달콤한악마의유혹,https://i.ytimg.com/vi/JIkkrEefFfA/hqdefault.jpg,      성공을 위해 악마에게 영혼을 계약한 남자,0,1,0,0,1,0,JIkkrEefFfA,0,8
당신과나그리고그녀,https://i.ytimg.com/vi/GKh4bp-bGMk/hqdefault.jpg,셋이서 동시에 사랑을 하면?,1,1,0,1,0,1,GKh4bp-bGMk,1,4
당신은몇번째인가요,https://i.ytimg.com/vi/I13u71XkfDk/hqdefault.jpg,질 때마다 벗어야 되는 농구게임을 하게 된 두 남녀    ,0,1,0,0,1,0,I13u71XkfDk,0,10
당신은몇번째인가요?,https://i.ytimg.com/vi/nIlXwyrA41g/hqdefault.jpg,지면 옷을 하나씩 벗는 어른용 농구게임  ㅋ,0,1,0,0,1,0,nIlXwyrA41g,0,7
당신이섹스에대해알고싶었던모든것1972,https://i.ytimg.com/vi/myEnP61QxpY/hqdefault.jpg,우리 몸 안에서 몰래 일하고 있는 존재들이 있다면  ?,1,1,0,1,1,1,myEnP61QxpY,1,8
대니쉬걸,https://i.ytimg.com/vi/1eVTP3eHmQ4/hqdefault.jpg,여자가 되고 싶어하는 남자,0,1,0,0,1,0,1eVTP3eHmQ4,0,4
대니쉬걸,https://i.ytimg.com/vi/9FeQy9aEA20/hqdefault.jpg,너 알고있니? 세계최초의 트렌스젠더 영화 대니쉬걸,0,1,0,0,0,0,9FeQy9aEA20,0,6
더가디언즈,https://i.ytimg.com/vi/67Aepsnei_g/hqdefault.jpg,러시아에서 어벤져스를 만들면 벌어지는 일  ㅋ,1,0,0,1,1,0,67Aepsnei_g,1,6
더가디언즈,https://i.ytimg.com/vi/iShRYxUb79U/hqdefault.jpg,마하의 속도로 적을 두동강 내버린 세 슈퍼히어로,1,1,1,0,1,1,iShRYxUb79U,1,7
더가디언즈,https://i.ytimg.com/vi/m2PAEBq02yc/hqdefault.jpg,인체 실험을 통해 신의 힘을 얻은 미래의 인류  ,0,1,0,0,1,0,m2PAEBq02yc,0,8
더기버-기억전달자,https://i.ytimg.com/vi/2e-1HHVGoxU/hqdefault.jpg,출산이 직업이 된 충격적인 미래사회   ㄷ,1,1,1,0,1,1,2e-1HHVGoxU,1,6
더넌,https://i.ytimg.com/vi/E95GVfEe9Bc/hqdefault.jpg,수녀원을 집어 삼킨 악마 발락       ,0,1,0,0,0,0,E95GVfEe9Bc,0,7
더랍스터,https://i.ytimg.com/vi/nUw4tpzcFxg/hqdefault.jpg,      그것과 결혼을 반드시 해야만 하는 호텔,0,1,0,0,1,0,nUw4tpzcFxg,0,7
더랍스터,https://i.ytimg.com/vi/2N_6XuT_z4c/hqdefault.jpg,솔로들을 위해 모든 것을 제공하는 호텔,0,1,0,0,1,0,2N_6XuT_z4c,0,6
더레이오버,https://i.ytimg.com/vi/EBM9gQRb6_w/hqdefault.jpg, 컵녀와  컵녀가 동시에 한 남자를 꼬시면 벌어지는 일,1,1,1,1,1,1,EBM9gQRb6_w,2,8
더레이오버,https://i.ytimg.com/vi/c2n_mpy9Gfs/hqdefault.jpg,이 두 여자가 한 남자를 꼬시면 벌어지는 일   ㄷ,1,1,1,1,1,1,c2n_mpy9Gfs,2,9
더레이오버,https://i.ytimg.com/vi/OPT7-tEW6Zg/hqdefault.jpg, 컵을 앞에 두고  컵을 주무르는 이 남자의 사연    ,1,1,1,1,1,1,OPT7-tEW6Zg,2,8
더렌탈,https://i.ytimg.com/vi/iVSrNuLtsd0/hqdefault.jpg,해외 민박집에서 숙박할 경우 절대로 욕실을 사용하면 안 되는 이유,1,1,0,1,1,1,iVSrNuLtsd0,1,10
더렌탈,https://i.ytimg.com/vi/1wKU1WEEviM/hqdefault.jpg,민박집에서 숙박할 때 절대로 욕실을 사용하면 안 되는 이유,1,1,0,1,1,1,1wKU1WEEviM,1,9
더렌탈,https://i.ytimg.com/vi/aCw6st3STmA/hqdefault.jpg,모처럼 놀러간 오션뷰 펜션에 몰래카메라가 설치되어 있다면?  재업       ,1,1,0,1,1,1,aCw6st3STmA,1,9
더룸,https://i.ytimg.com/vi/29gniTv30BA/hqdefault.jpg,당신의 소원을 들어준다면 무엇을 빌겠습니까     ,1,1,0,1,1,1,29gniTv30BA,1,5
더룸,https://i.ytimg.com/vi/oK50okx1RAQ/hqdefault.jpg,      물건뿐만 아니라 생명까지 창조하는 방에서 불행한 사람들,0,1,0,0,1,0,oK50okx1RAQ,0,8
더룸,https://i.ytimg.com/vi/FSUPtc__0x4/hqdefault.jpg,년된 집에서 발견된 무제한으로 소원을 이뤄주는 비밀 방,0,1,0,0,1,0,FSUPtc__0x4,0,8
더룸,https://i.ytimg.com/vi/qqU1SgFjniU/hqdefault.jpg,가난한 서민이 하루에  조를 버는 충격적인 방법  ㅋ,1,1,1,1,1,1,qqU1SgFjniU,2,9
더룸,https://i.ytimg.com/vi/rWWf56RskGs/hqdefault.jpg,말만 하면 무엇이든지 만들어주는 마법의 방 영화 더 룸    소름 주의 ,0,1,0,0,1,0,rWWf56RskGs,0,12
더룸,https://i.ytimg.com/vi/TraZYKUI63Q/hqdefault.jpg,무엇이든 말만하면 소원이 이루어지는 밀실  개소름 ,0,1,0,0,1,0,TraZYKUI63Q,0,6
더보이2,https://i.ytimg.com/vi/rnZ61LcH2x8/hqdefault.jpg,이 인형을 사람처럼 대하지 않으면 벌어지는 일,1,1,0,1,1,1,rnZ61LcH2x8,1,7
더보이2:돌아온브람스,https://i.ytimg.com/vi/3RSymGIAltg/hqdefault.jpg,땅 속에 묻힌 물건을 함부로 꺼내면 절대! 안되는 이유  ,1,1,1,1,1,1,3RSymGIAltg,2,9
더보이즈,https://i.ytimg.com/vi/Q9t9fl3vHl0/hqdefault.jpg,불사신들을 너무 많이 생산해버린 미국 제약 회사,0,1,0,0,1,0,Q9t9fl3vHl0,0,7
더보이즈,https://i.ytimg.com/vi/dCDLd2Gq86c/hqdefault.jpg,인간 혐오증에 걸린 태양열을 뿜어내는 슈퍼히어로,0,1,0,0,1,0,dCDLd2Gq86c,0,6
더보이즈,https://i.ytimg.com/vi/cnTGtVKal3U/hqdefault.jpg,마하의 속도로 가버리던 슈퍼히어로에게 정면으로 부딪힌 여자,0,1,0,0,1,0,cnTGtVKal3U,0,7
더보이즈,https://i.ytimg.com/vi/gn4MoWgxvZg/hqdefault.jpg,넷플릭스엔 없는 성인 슈퍼히어로 작품 위,1,0,1,0,0,0,gn4MoWgxvZg,1,6
더블타겟,https://i.ytimg.com/vi/SgpFs0nXlPA/hqdefault.jpg,분노한 스나이퍼 혼자 대륙을 쓸어버리는 영화,1,1,1,0,0,1,SgpFs0nXlPA,1,6
더블패티,https://i.ytimg.com/vi/-Q879tR5Bes/hqdefault.jpg,햄버거 가게 누나가 놀란 이유,1,0,0,1,0,0,-Q879tR5Bes,1,5
더소사이어티,https://i.ytimg.com/vi/N2m4OsoIGtQ/hqdefault.jpg,모든 어른들이 사라지고 대 청소년들만 세상에 남으면 벌어지는 일,1,1,0,1,0,1,N2m4OsoIGtQ,1,9
더소사이어티,https://i.ytimg.com/vi/aIG9TWRSXsw/hqdefault.jpg,대 청소년들만 남은 지구에서 벌어지는 일들,1,1,0,1,1,1,aIG9TWRSXsw,1,6
더소우:해빙,https://i.ytimg.com/vi/gzVwgq2lWfc/hqdefault.jpg, 공포영화  인간세상에 재앙을 불러온 작은 벌레의 정체,1,1,0,1,1,1,gzVwgq2lWfc,1,7
더시그널,https://i.ytimg.com/vi/c9tKHvMCLdY/hqdefault.jpg,생체 실험으로 몸의 일부만 괴생명 병기가 된 남자,0,1,0,0,1,0,c9tKHvMCLdY,0,8
더시그널,https://i.ytimg.com/vi/dXrGkhPzbrQ/hqdefault.jpg,자신들을 도발한 해커를 쫓다 생긴 일     ,1,1,0,1,1,1,dXrGkhPzbrQ,1,6
더울프오브월스트리트,https://i.ytimg.com/vi/-RPetk_4dB4/hqdefault.jpg,일주일에 억을 버는 상위    남자의 비밀,1,1,1,1,1,1,-RPetk_4dB4,2,7
더울프오브월스트리트,https://i.ytimg.com/vi/rUoO_jktfHE/hqdefault.jpg,상위    부자들의 타락한 인생   ㄷ,1,1,1,0,1,1,rUoO_jktfHE,1,6
더위치스,https://i.ytimg.com/vi/mhfmnkkue0Y/hqdefault.jpg,미녀배우 앤 해서웨이가 대머리에 코벌렁 거리는 마녀로 변신한 이유      ,1,1,0,1,1,1,mhfmnkkue0Y,1,10
더위치스,https://i.ytimg.com/vi/0OBpn7aKqVE/hqdefault.jpg,        전 세계 마녀들을 두려움에 떨게 했던 영화,1,0,1,0,1,0,0OBpn7aKqVE,1,10
더이퀄라이저,https://i.ytimg.com/vi/VhCmbgUdapI/hqdefault.jpg,러시아 갱단 참교육 해버리는 코스트코 알바생,1,1,1,0,1,1,VhCmbgUdapI,1,6
더이퀄라이저,https://i.ytimg.com/vi/UZvq3Mr7P9A/hqdefault.jpg,마트 직원이 된 전직특수요원 잘못 건드렸다가 전멸당한 거대 조직      ,1,1,1,0,1,1,UZvq3Mr7P9A,1,11
더이퀄라이저2,https://i.ytimg.com/vi/AABwZQAM1yU/hqdefault.jpg,전직 특수부대 요원의 택시에서 진상짓하면 벌어지는일,1,1,1,1,1,1,AABwZQAM1yU,2,6
더이퀄라이저2,https://i.ytimg.com/vi/Sj0xlM6jDzs/hqdefault.jpg,남몰래 사람들 도와주는 택시기사가 된 전직 특수요원 잘못 건드린 조직의 최후      ,1,1,1,1,1,1,Sj0xlM6jDzs,2,12
더콜,https://i.ytimg.com/vi/HwYWOdlYw94/hqdefault.jpg,수석 졸업한 천재여경을 납치하면 벌어지는 일  미친스릴주의 ,1,1,0,1,1,1,HwYWOdlYw94,1,7
더콜,https://i.ytimg.com/vi/sggWq8cLGtE/hqdefault.jpg,그것에 집착하는 싸이코패스를 참교육 시켜주는 여자         ,1,0,1,0,1,0,sggWq8cLGtE,1,9
더콜,https://i.ytimg.com/vi/AykavK8ivko/hqdefault.jpg,여자가 트렁크에 갇힌 충격적 이유,1,1,1,1,0,1,AykavK8ivko,2,5
더큐어,https://i.ytimg.com/vi/zsobDXErsT8/hqdefault.jpg,치사율  의 바이러스가 퍼지자 인류에게 생긴 일!  액션갓띵작      ,1,1,0,1,1,1,zsobDXErsT8,1,8
더퍼지,https://i.ytimg.com/vi/Eapwk4Tx3d0/hqdefault.jpg,범죄가 허용되는 날에 적응하게 되면 벌어지는 일,1,1,0,1,1,1,Eapwk4Tx3d0,1,7
더퍼지,https://i.ytimg.com/vi/IQIwV7DvGoU/hqdefault.jpg,시간동안 모든 범죄가 허용되는 영화,0,1,0,0,1,0,IQIwV7DvGoU,0,5
더퍼지,https://i.ytimg.com/vi/0BZsbEmLiSM/hqdefault.jpg,법이 없어진 날을 축제처럼 즐기는 영화,0,1,0,0,1,0,0BZsbEmLiSM,0,6
더퍼지,https://i.ytimg.com/vi/yylz8P15B0o/hqdefault.jpg,하루동안 범죄가 허용되자 갑자기 변해버린 소녀들,0,1,0,0,1,0,yylz8P15B0o,0,6
더플랫폼,https://i.ytimg.com/vi/Pf-ODNk-2X4/hqdefault.jpg,최고급 음식만 주는 밀폐실에서 개월 버티면 소원을 들어주는 곳,0,1,0,0,1,0,Pf-ODNk-2X4,0,9
더플랫폼,https://i.ytimg.com/vi/hphP_DbC-1w/hqdefault.jpg,이게 교도소 콩밥이라고?,1,1,0,1,1,1,hphP_DbC-1w,1,3
더플랫폼2020,https://i.ytimg.com/vi/2iVxIP3CwEc/hqdefault.jpg,상위 계급 사람만 음식을 먹을 수 있는 거짓말같은 세상,0,1,0,0,0,0,2iVxIP3CwEc,0,9
더헌트,https://i.ytimg.com/vi/RhTtxwpS47Q/hqdefault.jpg,상위    부자에게 “악플”을 쓰면 벌어지는 일,1,1,1,1,1,1,RhTtxwpS47Q,2,7
더헌트,https://i.ytimg.com/vi/HlzZxcEofp4/hqdefault.jpg,부자들의 인간 사냥 게임에 강제 초청된 서민들의 최후   한국 넷플릭스   ,1,1,0,1,1,1,HlzZxcEofp4,1,13
덕혜옹주,https://i.ytimg.com/vi/Tgo_6-jmVEI/hqdefault.jpg,덕혜옹주   없는   #,0,0,0,0,1,0,Tgo_6-jmVEI,0,5
덤앤더머,https://i.ytimg.com/vi/F5b0XgUDxWc/hqdefault.jpg,      세상 제일 멍청한 두명이 돈가방을 주우면 생기는 일,1,1,1,1,1,1,F5b0XgUDxWc,2,10
덤앤더머,https://i.ytimg.com/vi/QcjnquG9en0/hqdefault.jpg,  하위  바보들이 일확천금 얻으면 벌어지는 일,1,1,1,1,1,1,QcjnquG9en0,2,7
덩케르크,https://i.ytimg.com/vi/zxP7fPcE7cI/hqdefault.jpg,놀란의 유일한 실패작?  덩케르크   ,1,0,1,1,0,0,zxP7fPcE7cI,2,5
덩케르크,https://i.ytimg.com/vi/e31zRLqD2qs/hqdefault.jpg,덩케르크를 이해한 사람만 아는 이것이 없는 이유,1,0,0,1,0,0,e31zRLqD2qs,1,7
덩케르크,https://i.ytimg.com/vi/W9V4Bt-lqWk/hqdefault.jpg,천만예약 덩케르크를 보기 위한 가지 핵심 이야기,1,0,1,1,0,0,W9V4Bt-lqWk,2,7
덩케르크,https://i.ytimg.com/vi/j0zKGhvOI-U/hqdefault.jpg,군인들이 보면   온다는 레전드 위 군대영화  ,1,0,1,0,1,0,j0zKGhvOI-U,1,7
데드풀,https://i.ytimg.com/vi/YsWMbhCnKpU/hqdefault.jpg,너 알고있니? 생동성알바 피해자 데드풀,1,1,1,0,1,1,YsWMbhCnKpU,1,5
데드풀,https://i.ytimg.com/vi/YoItckKMbkw/hqdefault.jpg,어벤져스를 돌려까는 데드풀의 차 예고편 총정리,1,0,1,0,1,0,YoItckKMbkw,1,6
데드풀,https://i.ytimg.com/vi/4Cf2JtQQ8-o/hqdefault.jpg,데드풀 모두를 죽이다  삐맨,0,1,0,0,1,0,4Cf2JtQQ8-o,0,4
데드풀,https://i.ytimg.com/vi/S4oi0ZlqUWg/hqdefault.jpg,데드풀 집단 자살 총정리    삐맨,0,0,0,0,1,0,S4oi0ZlqUWg,0,7
데드풀2,https://i.ytimg.com/vi/NxA-zB7y3RA/hqdefault.jpg,데드풀이 말한 애꾸눈 윌리 대박 숨은 의미,1,0,1,1,1,0,NxA-zB7y3RA,2,7
데드풀2,https://i.ytimg.com/vi/MBNG4NZBWfQ/hqdefault.jpg,데드풀  개그가 다가 아니다,0,0,0,0,0,0,MBNG4NZBWfQ,0,4
데드풀2,https://i.ytimg.com/vi/ZYsLsjH-rYM/hqdefault.jpg,데드풀 그래 이게 진짜 번역이지!  데드풀  일러 없는  !,0,0,0,0,1,0,ZYsLsjH-rYM,0,9
데블스플레이그라운드,https://i.ytimg.com/vi/bYmUQ5wic8g/hqdefault.jpg,인간의 실수로 만들어진 역대 최강 피지컬 좀비,1,1,1,0,0,1,bYmUQ5wic8g,1,7
데블스플레이그라운드,https://i.ytimg.com/vi/ll1LTIIVp2U/hqdefault.jpg,인간이 직접 만든 좀비의 충격적인 피지컬 수준,1,1,1,0,1,1,ll1LTIIVp2U,1,7
데블스플레이그라운드,https://i.ytimg.com/vi/K5JIu0stZg0/hqdefault.jpg,미래에 일어날 지덕체 좀비들의 이야기,0,1,0,0,0,0,K5JIu0stZg0,0,5
데스노트,https://i.ytimg.com/vi/HrxmRYILZ34/hqdefault.jpg,퀸카에게 내가 신이라고 고백하면서 벌어진 일,1,1,1,1,1,1,HrxmRYILZ34,2,6
데스노트,https://i.ytimg.com/vi/177L69NRiCQ/hqdefault.jpg,헐리웃에서 충격받아 리메이크할 정도로 잘만든 아시아 위 판타지영화   ㄷ,1,0,1,0,0,0,177L69NRiCQ,1,9
데스노트1편2006,https://i.ytimg.com/vi/t-nbBGEYg_g/hqdefault.jpg,데스노트 첫번째 이야기     ,0,0,0,0,1,0,t-nbBGEYg_g,0,3
데스노트2편-라스트네임2007,https://i.ytimg.com/vi/crhZJRe4lG8/hqdefault.jpg,데스노트 두번째 이야기   결말 ,0,0,0,0,1,0,crhZJRe4lG8,0,3
데스노트:더뉴월드2016,https://i.ytimg.com/vi/zFQD8GCklQQ/hqdefault.jpg,데스노트 년 후의 이야기      ,0,1,0,0,1,0,zFQD8GCklQQ,0,5
데스레이스,https://i.ytimg.com/vi/a5Ivzh-T6-I/hqdefault.jpg,제이슨 스타뎀 형님의 화끈 레이스 액션! 최악의 악당들이 펼치는 어른들의 카트라이더!      ,1,1,1,0,1,1,a5Ivzh-T6-I,1,13
